Ano,Total_Artigos,Total_Autores_Unicos,Autores_Fem,Autores_Masc,Pct_Autores_Fem,Pct_Autores_Masc,Pct_Primeira_Autoria_Fem,Pct_Primeira_Autoria_Masc
2006,17,49,13,36,26.53,73.47,35.29,64.71
2007,11,43,10,33,23.26,76.74,27.27,72.73
2008,26,72,16,56,22.22,77.78,26.92,73.08
2009,24,76,25,51,32.89,67.11,33.33,66.67
2010,18,53,15,38,28.3,71.7,38.89,61.11
2011,36,101,29,72,28.71,71.29,35.14,64.86
2012,26,75,21,54,28.0,72.0,26.92,73.08
2013,27,91,38,53,41.76,58.24,33.33,66.67
2014,20,63,24,39,38.1,61.9,40.0,60.0
2015,29,93,27,66,29.03,70.97,24.14,75.86
2016,25,80,32,48,40.0,60.0,48.0,52.0
2017,26,83,33,50,39.76,60.24,38.46,61.54
2019,55,113,35,78,30.97,69.03,18.18,81.82
2021,32,85,37,48,43.53,56.47,37.5,62.5
2022,25,87,35,52,40.23,59.77,32.0,68.0
2023,34,86,45,41,52.33,47.67,55.88,44.12
2024,67,181,87,94,48.07,51.93,53.73,46.27
2025,53,138,55,83,39.86,60.14,32.08,67.92
