Autor,Gênero,Coautores Diretos,Centralidade Grau,Intermediacao (Betweenness),Proximidade (Closeness)
Jose M. N. David,Masculino,42,0.037467,0.033718,0.11068
Marco A. Gerosa,Masculino,38,0.033898,0.047777,0.12024
Juliana B. S. Franca,Feminino,36,0.032114,0.019658,0.130307
Adriana S. Vivacqua,Feminino,36,0.032114,0.041653,0.137757
Cleidson R. B. Souza,Masculino,36,0.032114,0.02628,0.097011
Carla D. M. Berkenbrock,Feminino,32,0.028546,0.001797,0.032971
Bruno Gadelha,Masculino,32,0.028546,0.024328,0.118031
Jonice Oliveira,Feminino,31,0.027654,0.040787,0.138061
Vaninha Vieira,Feminino,31,0.027654,0.034526,0.112823
Marcos R. S. Borges,Masculino,29,0.02587,0.036976,0.126428
Ana C. B. Garcia,Feminino,28,0.024978,0.024181,0.116984
Hugo Fuks,Masculino,27,0.024086,0.028069,0.1314
Igor Steinmacher,Masculino,25,0.022302,0.028005,0.115103
Angelica F. S. Dias,Feminino,24,0.021409,0.045874,0.137984
Flavia M. Santoro,Feminino,20,0.017841,0.026362,0.125415
Fabricio Benevenuto,Masculino,19,0.016949,0.001061,0.019736
Roberta L. Gomes,Feminino,18,0.016057,0.015692,0.097426
Ana P. Chaves,Feminino,17,0.015165,0.008626,0.108476
Mariano Pimentel,Masculino,17,0.015165,0.017985,0.125353
Glivia A. R. Barbosa,Feminino,17,0.015165,0.000427,0.016895
Wallace Ugulino,Masculino,17,0.015165,0.037114,0.131745
Thais Castro,Feminino,16,0.014273,0.009022,0.109711
Ailton Ribeiro,Masculino,16,0.014273,0.00112,0.101122
Aida A. Ferreira,Feminino,16,0.014273,0.000161,0.014638
Ismael S. Silva,Masculino,16,0.014273,0.000404,0.016768
Genildo Gomes,Masculino,16,0.014273,0.00389,0.098576
Rafael Parizi,Masculino,15,0.013381,0.052355,0.133429
Fernando F. Filho,Masculino,15,0.013381,0.008306,0.10149
Melise M. V. Paula,Feminino,15,0.013381,0.011612,0.089143
Alberto Raposo,Masculino,14,0.012489,0.011984,0.123927
Silvio R. L. Meira,Masculino,14,0.012489,0.005841,0.077747
Raquel O. Prates,Feminino,14,0.012489,0.001297,0.022081
Cleidson Souza,Masculino,14,0.012489,0.008224,0.09112
Celso M. Hirata,Masculino,13,0.011597,0.000216,0.022989
Claudia L. R. Motta,Feminino,13,0.011597,0.008708,0.109952
Igor S. Wiese,Masculino,13,0.011597,0.000801,0.103803
Ana M. Amorim,Feminino,13,0.011597,0.014972,0.111122
Thayssa A. Rocha,Feminino,13,0.011597,0.001928,0.081516
Maria C. Pestana,Feminino,12,0.010705,0.000385,0.099043
Murilo G. Arouca,Masculino,12,0.010705,0.002469,0.099043
